,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8251201046826389,0.8248199877520312,0.8253890128592211,0.0001110362158884852
1,jaccard(top_bow),0.825124959285518,0.8246818635346205,0.8255537266677128,0.00016029583746222646
2,jaccard(top_tfidf),0.825197562814218,0.8248085426083677,0.8255336322175829,0.00014283509327826829
3,jaccard(w2v_sif),0.8251276082154697,0.8248314490036384,0.8256372079860717,0.0001632682614669393
4,jaccard(w2v_weighted),0.8251304980643988,0.8247653411323194,0.8255237998395416,0.00013667489263317082
5,sas(bert),0.0010573099415204677,-0.006900584795321638,0.009941520467836256,0.0035855085743528997
6,sas(top_bow),0.014467836257309942,0.003625730994152046,0.03309941520467836,0.0057431328877056995
7,sas(top_tfidf),0.0038362573099415213,-0.004795321637426901,0.01625730994152047,0.004640463181861139
8,sas(w2v_sif),0.027646783625730986,0.012046783625730995,0.05415204678362573,0.00805751729003814
9,sas(w2v_weighted),0.027373099415204667,0.009941520467836256,0.04783625730994152,0.008090702691777004
