,func_name,time_elapsed(s)
0,"clust_any_ref(8800, top_tfidf, 80) ", 7.796032885999999
1,"clust_any_ref(8800, top_bow, 80) ", 7.238380682000001
2,"clust_any_ref(8800, w2v_weighted, 80) ", 8.659314045000002
3,"clust_any_ref(8800, w2v_sif, 80) ", 8.666736493000002
4,"score_sas(8800, top_tfidf, 80) ", 0.0012607960000039498
5,"score_jaccard(8800, top_tfidf, 80) ", 5.510170958000003
6,"score_sas(8800, top_bow, 80) ", 0.001251036999995847
7,"score_jaccard(8800, top_bow, 80) ", 5.5091270980000004
8,"score_sas(8800, w2v_weighted, 80) ", 0.0012124209999981872
9,"score_jaccard(8800, w2v_weighted, 80) ", 5.494380104000001
10,"score_sas(8800, w2v_sif, 80) ", 0.0012709989999990512
11,"score_jaccard(8800, w2v_sif, 80) ", 5.4533067149999965
12,"clust_any_ref(8800, top_tfidf, 80) ", 7.205016747000002
13,"clust_any_ref(8800, top_bow, 80) ", 7.183178898000008
14,"clust_any_ref(8800, w2v_weighted, 80) ", 8.709048581999994
15,"clust_any_ref(8800, w2v_sif, 80) ", 8.683392081000008
16,"score_sas(8800, top_tfidf, 80) ", 0.0013368169999949941
17,"score_jaccard(8800, top_tfidf, 80) ", 5.457297361999991
18,"score_sas(8800, top_bow, 80) ", 0.0012524639999895726
19,"score_jaccard(8800, top_bow, 80) ", 5.504138951000002
20,"score_sas(8800, w2v_weighted, 80) ", 0.0012589260000055447
21,"score_jaccard(8800, w2v_weighted, 80) ", 5.386835699999992
22,"score_sas(8800, w2v_sif, 80) ", 0.0012352469999967752
23,"score_jaccard(8800, w2v_sif, 80) ", 5.3875228000000135
24,"clust_any_ref(8800, top_tfidf, 80) ", 7.221389524000003
25,"clust_any_ref(8800, top_bow, 80) ", 7.1739324589999995
26,"clust_any_ref(8800, w2v_weighted, 80) ", 8.682392125000007
27,"clust_any_ref(8800, w2v_sif, 80) ", 8.661626460000008
28,"score_sas(8800, top_tfidf, 80) ", 0.0012438939999981358
29,"score_jaccard(8800, top_tfidf, 80) ", 5.465994823000017
30,"score_sas(8800, top_bow, 80) ", 0.001260645000002114
31,"score_jaccard(8800, top_bow, 80) ", 5.3683935020000035
32,"score_sas(8800, w2v_weighted, 80) ", 0.0012741080000182592
33,"score_jaccard(8800, w2v_weighted, 80) ", 5.44875402400001
34,"score_sas(8800, w2v_sif, 80) ", 0.0012605530000087128
35,"score_jaccard(8800, w2v_sif, 80) ", 5.359680620000006
36,"clust_any_ref(8800, top_tfidf, 80) ", 7.174283585000012
37,"clust_any_ref(8800, top_bow, 80) ", 7.231677227999995
38,"clust_any_ref(8800, w2v_weighted, 80) ", 8.593803014999992
39,"clust_any_ref(8800, w2v_sif, 80) ", 8.652585085999988
40,"score_sas(8800, top_tfidf, 80) ", 0.0012446210000121027
41,"score_jaccard(8800, top_tfidf, 80) ", 5.4149445330000106
42,"score_sas(8800, top_bow, 80) ", 0.0012245260000156577
43,"score_jaccard(8800, top_bow, 80) ", 5.4244434640000065
44,"score_sas(8800, w2v_weighted, 80) ", 0.0012463619999891762
45,"score_jaccard(8800, w2v_weighted, 80) ", 5.401180397000019
46,"score_sas(8800, w2v_sif, 80) ", 0.001241652999993903
47,"score_jaccard(8800, w2v_sif, 80) ", 5.456984140000003
48,"clust_any_ref(8800, top_tfidf, 80) ", 7.224984178999989
49,"clust_any_ref(8800, top_bow, 80) ", 7.184893312999975
50,"clust_any_ref(8800, w2v_weighted, 80) ", 8.67228115399999
51,"clust_any_ref(8800, w2v_sif, 80) ", 8.649272268999994
52,"score_sas(8800, top_tfidf, 80) ", 0.0012651349999828199
53,"score_jaccard(8800, top_tfidf, 80) ", 5.35507630799998
54,"score_sas(8800, top_bow, 80) ", 0.001197020999995857
55,"score_jaccard(8800, top_bow, 80) ", 5.421133454000028
56,"score_sas(8800, w2v_weighted, 80) ", 0.0012022850000334984
57,"score_jaccard(8800, w2v_weighted, 80) ", 5.329451100999961
58,"score_sas(8800, w2v_sif, 80) ", 0.0012031879999767625
59,"score_jaccard(8800, w2v_sif, 80) ", 5.433860180000011
60,"clust_any_ref(8800, top_tfidf, 80) ", 7.222449944999994
61,"clust_any_ref(8800, top_bow, 80) ", 7.174130960000014
62,"clust_any_ref(8800, w2v_weighted, 80) ", 8.686865169000043
63,"clust_any_ref(8800, w2v_sif, 80) ", 8.663863007000032
64,"score_sas(8800, top_tfidf, 80) ", 0.001238826000019344
65,"score_jaccard(8800, top_tfidf, 80) ", 5.439047096000024
66,"score_sas(8800, top_bow, 80) ", 0.0012498950000008335
67,"score_jaccard(8800, top_bow, 80) ", 5.410886538999989
68,"score_sas(8800, w2v_weighted, 80) ", 0.0012577840000176366
69,"score_jaccard(8800, w2v_weighted, 80) ", 5.477494831999991
70,"score_sas(8800, w2v_sif, 80) ", 0.001254469999992125
