,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8244325840627945,0.8242041161200826,0.8246725300190653,8.962486471177355e-05
1,jaccard(top_bow),0.824421343045394,0.824186489248755,0.8247483919632741,0.00013045366077999
2,jaccard(top_tfidf),0.8244698716692848,0.8241269563470442,0.8248759261755406,0.00014222139249075628
3,jaccard(w2v_sif),0.8244320135718068,0.8241034731998202,0.8247528024295316,0.0001202296351858153
4,jaccard(w2v_weighted),0.8244464909690568,0.8241734174762378,0.8248619335345073,0.00012295913697849497
5,sas(bert),0.0018807017543859639,-0.00824561403508772,0.014912280701754387,0.0047093656406868144
6,sas(top_bow),0.017459649122807015,0.0022807017543859665,0.044385964912280695,0.00701942558503213
7,sas(top_tfidf),0.004828070175438599,-0.00824561403508772,0.02543859649122807,0.005568354824343429
8,sas(w2v_sif),0.034701754385964914,0.014912280701754387,0.05912280701754387,0.009066196579771873
9,sas(w2v_weighted),0.03251228070175439,0.010701754385964914,0.06543859649122807,0.010636404650637673
