,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8237044435831272,0.8235349379164253,0.8239105006961607,6.898931859265097e-05
1,jaccard(top_bow),0.8237447927801298,0.8235320402578056,0.8240219110050848,9.040133701414508e-05
2,jaccard(top_tfidf),0.8237766720235621,0.823563816252759,0.8240520718470379,9.814372871324854e-05
3,jaccard(w2v_sif),0.8237398527955709,0.8235510029940034,0.824059620003192,8.925062155679297e-05
4,jaccard(w2v_weighted),0.8237716862854267,0.8235832944091833,0.8240460082521727,8.451338803716387e-05
5,sas(bert),0.001971929824561403,-0.012280701754385965,0.01719298245614035,0.006472311762644737
6,sas(top_bow),0.022750877192982442,0.002456140350877191,0.04666666666666667,0.01012756709236105
7,sas(top_tfidf),0.004982456140350877,-0.012280701754385965,0.019298245614035085,0.006521546507260246
8,sas(w2v_sif),0.05289824561403509,0.021403508771929827,0.08456140350877192,0.01248154741985192
9,sas(w2v_weighted),0.04862456140350879,0.019298245614035085,0.08456140350877192,0.012738357825638867
