,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.052971018996458855,0.05257588885267566,0.053450882839559025,0.00017212228790315957
1,jaccard(top_bow),0.053137238824654286,0.052701803975607045,0.053552367083588806,0.00017622006784832626
2,jaccard(top_tfidf),0.05317391193983381,0.052828910999205024,0.053715735375494233,0.00018129785335990224
3,jaccard(w2v_sif),0.05372109521705523,0.053161786880035,0.054256279464249706,0.00019883953309026526
4,jaccard(w2v_weighted),0.053723633607149726,0.05325362671243906,0.054293192249156026,0.00019234220352708543
5,sas(bert),0.0051515151515151535,-0.003030303030303029,0.05757575757575758,0.015442567244502523
6,sas(top_bow),0.011515151515151511,-0.03333333333333333,0.1181818181818182,0.03236911344259803
7,sas(top_tfidf),0.009696969696969693,-0.03333333333333333,0.1181818181818182,0.034505102117582155
8,sas(w2v_sif),0.07666666666666669,-0.003030303030303029,0.2090909090909091,0.04009408197213526
9,sas(w2v_weighted),0.04818181818181822,-0.03333333333333333,0.1787878787878788,0.04146785917946209
