,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.0,0.0,0.0,0.0
1,jaccard(top_bow),0.0,0.0,0.0,0.0
2,jaccard(top_tfidf),0.0,0.0,0.0,0.0
3,jaccard(w2v_sif),0.0,0.0,0.0,0.0
4,jaccard(w2v_weighted),0.0,0.0,0.0,0.0
5,sas(bert),0.0006531910911472958,-0.008628111547819575,0.011585251731237131,0.003679251184298889
6,sas(top_bow),0.03024330900243309,0.016077110237694182,0.04415122590305073,0.006157382501166467
7,sas(top_tfidf),0.008682388171439265,0.0003556054650945134,0.020007486430844094,0.004170601587997282
8,sas(w2v_sif),0.05178738536402774,0.03853640276997942,0.07222534156840726,0.007408609871287789
9,sas(w2v_weighted),0.04573460602657683,0.025622309563915403,0.06155717761557177,0.005941837992787252
