,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.2218935649010832,0.22128521275883578,0.2225337196671693,0.00026332551831666256
1,jaccard(top_bow),0.2221707721954679,0.22126001917118124,0.2232861459953269,0.0004078745160647631
2,jaccard(top_tfidf),0.22218264357084347,0.22141742115228746,0.22312828658080386,0.00037806601303812135
3,jaccard(w2v_sif),0.22250554321747176,0.22186144726361998,0.22433351750471645,0.00040542769964607445
4,jaccard(w2v_weighted),0.2224809180319689,0.2213760124125816,0.22394254326098,0.0004606775749041095
5,sas(bert),-0.0007017543859649106,-0.02456140350877193,0.03684210526315789,0.01115718364230346
6,sas(top_bow),0.034912280701754395,-0.015789473684210527,0.08947368421052632,0.021179985757759763
7,sas(top_tfidf),0.016140350877192986,-0.02456140350877193,0.06315789473684211,0.018047011368185817
8,sas(w2v_sif),0.06210526315789473,0.0017543859649122792,0.13333333333333333,0.025772042073846993
9,sas(w2v_weighted),0.05210526315789474,0.0017543859649122792,0.12456140350877193,0.026554531666928196
