,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8244096915808263,0.8241418853644913,0.8249119165955752,0.00012044024183089393
1,jaccard(top_bow),0.8244431770530065,0.8241739175189781,0.8247846435609213,0.00012670955401602953
2,jaccard(top_tfidf),0.8244682187817881,0.8241687464175556,0.8248566515145712,0.00013699746789267296
3,jaccard(w2v_sif),0.8244494263579305,0.8241350125927948,0.8247210272974854,0.00011986939649048639
4,jaccard(w2v_weighted),0.824474476355015,0.8241249128111413,0.8247717431428973,0.0001254133765300684
5,sas(bert),0.007228070175438596,-0.0061403508771929825,0.029649122807017547,0.0073318756516191005
6,sas(top_bow),0.017333333333333333,0.0043859649122807015,0.044385964912280695,0.007724371248810929
7,sas(top_tfidf),0.0047228070175438595,-0.00824561403508772,0.0212280701754386,0.005753607914101532
8,sas(w2v_sif),0.037712280701754405,0.010701754385964914,0.1012280701754386,0.011980584384481501
9,sas(w2v_weighted),0.032722807017543855,0.00649122807017544,0.05701754385964912,0.010610698461933585
