,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8237724083577987,0.8236082070143826,0.8239392401017507,7.589903063023721e-05
1,jaccard(top_bow),0.8237880000112527,0.8236099866070539,0.8239837583563121,7.785738855748517e-05
2,jaccard(top_tfidf),0.8237932692349342,0.8236060679394467,0.8239821301006519,9.251038997371599e-05
3,jaccard(w2v_sif),0.8237798448160227,0.8236095692361499,0.8240074859380235,7.551349464099539e-05
4,jaccard(w2v_weighted),0.8237789430216813,0.8236281855780399,0.8240633875391122,7.484841524877662e-05
5,sas(bert),0.01203157894736842,-0.008157894736842107,0.036052631578947364,0.00873469609764327
6,sas(top_bow),0.020705263157894747,-0.0039473684210526334,0.046578947368421046,0.008968365143728315
7,sas(top_tfidf),0.004621052631578948,-0.010263157894736844,0.01921052631578947,0.006475077973950585
8,sas(w2v_sif),0.044094736842105256,0.017105263157894735,0.10973684210526316,0.013140143262211926
9,sas(w2v_weighted),0.04245263157894737,0.01921052631578947,0.07815789473684209,0.012039722720775194
