,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.03964995598454926,0.039546335207302295,0.0398595880556713,4.911142180914508e-05
1,jaccard(top_bow),0.039802065890442925,0.0396915646264899,0.03990922125667386,4.871434162039489e-05
2,jaccard(top_tfidf),0.03966825644113852,0.039557375525918655,0.03979252760026421,4.210482605735968e-05
3,jaccard(w2v_sif),0.0401610802176367,0.03997076742384351,0.040386443549469915,8.91826086583536e-05
4,jaccard(w2v_weighted),0.04019505791689599,0.0398843212427374,0.04040512509160312,0.0001036906717704403
5,sas(bert),-0.020303030303030285,-0.13636363636363635,0.10606060606060605,0.054490160049134546
6,sas(top_bow),0.02333333333333333,-0.10606060606060605,0.16666666666666666,0.04773972124253706
7,sas(top_tfidf),0.03666666666666665,-0.10606060606060605,0.16666666666666666,0.062012304962306385
8,sas(w2v_sif),0.09515151515151525,-0.07575757575757575,0.25757575757575757,0.06651902286370293
9,sas(w2v_weighted),0.15090909090909085,-0.015151515151515138,0.31818181818181823,0.06424346378908388
