,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.22227529333819226,0.22152618623865505,0.22318119892367033,0.0004212589253992707
1,jaccard(top_bow),0.22220194322304526,0.22152672986512373,0.2234506563818716,0.0003610155543263333
2,jaccard(top_tfidf),0.22226221053137693,0.22132849639265637,0.22360041386249066,0.00043362208499250597
3,jaccard(w2v_sif),0.2226192432763078,0.22165498348174512,0.22399740928141806,0.00046287929761400497
4,jaccard(w2v_weighted),0.22244496322987156,0.22166703770831045,0.22375905399583637,0.0004017429471748958
5,sas(bert),0.027631578947368403,-0.015789473684210527,0.08947368421052632,0.02153643254774304
6,sas(top_bow),0.032105263157894734,-0.015789473684210527,0.08947368421052632,0.02110057156124062
7,sas(top_tfidf),0.009122807017543855,-0.03333333333333333,0.045614035087719294,0.015153473669551913
8,sas(w2v_sif),0.061578947368421046,-0.007017543859649124,0.11578947368421053,0.02412397496890645
9,sas(w2v_weighted),0.050701754385964935,0.0017543859649122792,0.11578947368421053,0.022483010461458314
