,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8249365013637252,0.824592658366745,0.8252094328902423,0.00012305042014800372
1,jaccard(top_bow),0.8249295220234829,0.8246740063020161,0.8252258944101418,0.00011515528517994284
2,jaccard(top_tfidf),0.8249759478117292,0.824679848534589,0.8254923177742239,0.000130220663085024
3,jaccard(w2v_sif),0.8249146279129619,0.8246188116666066,0.8252593574940273,0.00012521614082323829
4,jaccard(w2v_weighted),0.8249196639335368,0.8246183658583989,0.8253091745546515,0.00011655602949208809
5,sas(bert),0.005284210526315789,-0.007894736842105263,0.019473684210526317,0.006223820910410773
6,sas(top_bow),0.01378947368421052,-0.00368421052631579,0.03,0.005988320707047662
7,sas(top_tfidf),0.004,-0.005789473684210527,0.02157894736842105,0.0048928757759129655
8,sas(w2v_sif),0.027326315789473678,0.008947368421052633,0.057368421052631575,0.00798361454692961
9,sas(w2v_weighted),0.025263157894736845,0.008947368421052633,0.05105263157894736,0.007518781802976983
