,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.824586464296337,0.824331044792191,0.8248799072942236,0.00012313951575274002
1,jaccard(top_bow),0.8245632506286924,0.8243297426053859,0.8248767043850184,0.00011326736633900205
2,jaccard(top_tfidf),0.8245781561298474,0.8243115504495965,0.8248546212368485,0.00010673068158081624
3,jaccard(w2v_sif),0.8245511086030946,0.824279733384286,0.8248061597899723,0.00011660705202874426
4,jaccard(w2v_weighted),0.8245441923520258,0.8243058302976276,0.8248159900653972,0.00011622949788755681
5,sas(bert),0.005373684210526317,-0.00618421052631579,0.019078947368421053,0.005472661745586469
6,sas(top_bow),0.015605263157894731,0.004342105263157894,0.03171052631578947,0.0063713663164468165
7,sas(top_tfidf),0.0038789473684210513,-0.0040789473684210535,0.019078947368421053,0.004582993928353348
8,sas(w2v_sif),0.028447368421052624,0.008552631578947367,0.05907894736842105,0.008359021935165793
9,sas(w2v_weighted),0.028805263157894744,0.006447368421052632,0.05065789473684211,0.009265380816840543
