,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.8251301150989387,0.8247672637388631,0.8256050669381578,0.00015488197027586554
1,jaccard(top_bow),0.825120029209721,0.824790408500112,0.8257439270934076,0.0001550207447151886
2,jaccard(top_tfidf),0.8252037162002843,0.8248565791797979,0.8258037067515598,0.00016945986511357613
3,jaccard(w2v_sif),0.8251215011675843,0.8247640210199829,0.8255811409408893,0.0001555333596891058
4,jaccard(w2v_weighted),0.8251422195116436,0.8248173766216951,0.8254329040727526,0.00012658040629292646
5,sas(bert),0.00568888888888889,-0.006900584795321638,0.02046783625730994,0.005685194944981111
6,sas(top_bow),0.014130994152046782,-0.0005847953216374276,0.041520467836257305,0.006793851025968995
7,sas(top_tfidf),0.004552046783625734,-0.006900584795321638,0.02046783625730994,0.0046193836835354924
8,sas(w2v_sif),0.02800467836257308,0.01415204678362573,0.052046783625730994,0.00778099168926978
9,sas(w2v_weighted),0.027309941520467836,0.007836257309941521,0.04362573099415205,0.007595793198644425
