,func_name,time_elapsed(s)
0,"clust_any_ref(1000, top_tfidf, 30) ", 0.04997096700000003
1,"clust_any_ref(1000, top_bow, 30) ", 0.05004393200000001
2,"clust_any_ref(1000, w2v_weighted, 30) ", 0.069292189
3,"clust_any_ref(1000, w2v_sif, 30) ", 0.07121808899999993
4,"score_sas(1000, top_tfidf, 30) ", 0.00023482499999993856
5,"score_jaccard(1000, top_tfidf, 30) ", 0.29796570999999994
6,"score_sas(1000, top_bow, 30) ", 0.000258808999999971
7,"score_jaccard(1000, top_bow, 30) ", 0.29217645999999986
8,"score_sas(1000, w2v_weighted, 30) ", 0.00024518900000014554
9,"score_jaccard(1000, w2v_weighted, 30) ", 0.28464426200000004
10,"score_sas(1000, w2v_sif, 30) ", 0.0002513150000000852
11,"score_jaccard(1000, w2v_sif, 30) ", 0.316776489
12,"clust_any_ref(1000, top_tfidf, 30) ", 0.04926813799999996
13,"clust_any_ref(1000, top_bow, 30) ", 0.05103868999999994
14,"clust_any_ref(1000, w2v_weighted, 30) ", 0.06932823999999993
15,"clust_any_ref(1000, w2v_sif, 30) ", 0.07132217100000027
16,"score_sas(1000, top_tfidf, 30) ", 0.00021813800000014538
17,"score_jaccard(1000, top_tfidf, 30) ", 0.2826230120000002
18,"score_sas(1000, top_bow, 30) ", 0.0001782320000001114
19,"score_jaccard(1000, top_bow, 30) ", 0.28949639299999985
20,"score_sas(1000, w2v_weighted, 30) ", 0.00018904199999969507
21,"score_jaccard(1000, w2v_weighted, 30) ", 0.2881739539999999
22,"score_sas(1000, w2v_sif, 30) ", 0.00025231500000000295
23,"score_jaccard(1000, w2v_sif, 30) ", 0.2969860120000001
24,"clust_any_ref(1000, top_tfidf, 30) ", 0.04973781999999982
25,"clust_any_ref(1000, top_bow, 30) ", 0.04788365799999994
26,"clust_any_ref(1000, w2v_weighted, 30) ", 0.0684784899999995
27,"clust_any_ref(1000, w2v_sif, 30) ", 0.07119237499999986
28,"score_sas(1000, top_tfidf, 30) ", 0.00023344400000002707
29,"score_jaccard(1000, top_tfidf, 30) ", 0.2967543810000004
30,"score_sas(1000, top_bow, 30) ", 0.00025230099999973277
31,"score_jaccard(1000, top_bow, 30) ", 0.28954724399999954
32,"score_sas(1000, w2v_weighted, 30) ", 0.0002530429999998418
33,"score_jaccard(1000, w2v_weighted, 30) ", 0.29525255599999944
34,"score_sas(1000, w2v_sif, 30) ", 0.00018835600000066677
35,"score_jaccard(1000, w2v_sif, 30) ", 0.2849395009999993
36,"clust_any_ref(1000, top_tfidf, 30) ", 0.04926694700000045
37,"clust_any_ref(1000, top_bow, 30) ", 0.049153057999999916
38,"clust_any_ref(1000, w2v_weighted, 30) ", 0.06865173200000019
39,"clust_any_ref(1000, w2v_sif, 30) ", 0.07173518499999965
40,"score_sas(1000, top_tfidf, 30) ", 0.0002534460000003236
41,"score_jaccard(1000, top_tfidf, 30) ", 0.30592038200000005
42,"score_sas(1000, top_bow, 30) ", 0.00021659299999932102
43,"score_jaccard(1000, top_bow, 30) ", 0.28281358899999987
44,"score_sas(1000, w2v_weighted, 30) ", 0.0002856260000001498
45,"score_jaccard(1000, w2v_weighted, 30) ", 0.2982352229999998
46,"score_sas(1000, w2v_sif, 30) ", 0.00023547300000004157
47,"score_jaccard(1000, w2v_sif, 30) ", 0.2931282590000004
48,"clust_any_ref(1000, top_tfidf, 30) ", 0.049807743999999765
49,"clust_any_ref(1000, top_bow, 30) ", 0.047004710000000394
50,"clust_any_ref(1000, w2v_weighted, 30) ", 0.06934042899999948
51,"clust_any_ref(1000, w2v_sif, 30) ", 0.07095334299999934
52,"score_sas(1000, top_tfidf, 30) ", 0.00019026200000027416
53,"score_jaccard(1000, top_tfidf, 30) ", 0.2930131350000007
54,"score_sas(1000, top_bow, 30) ", 0.00026943299999970804
55,"score_jaccard(1000, top_bow, 30) ", 0.30163828899999956
56,"score_sas(1000, w2v_weighted, 30) ", 0.00025104800000086414
57,"score_jaccard(1000, w2v_weighted, 30) ", 0.28861431400000015
58,"score_sas(1000, w2v_sif, 30) ", 0.00021990000000116083
59,"score_jaccard(1000, w2v_sif, 30) ", 0.3016415530000014
60,"clust_any_ref(1000, top_tfidf, 30) ", 0.04610886600000086
61,"clust_any_ref(1000, top_bow, 30) ", 0.048512991999999144
62,"clust_any_ref(1000, w2v_weighted, 30) ", 0.07486813600000097
63,"clust_any_ref(1000, w2v_sif, 30) ", 0.07149210800000105
