,sas(bert),sas(top_tfidf),sas(top_bow),sas(w2v_weighted),sas(w2v_sif),jaccard(bert),jaccard(top_tfidf),jaccard(top_bow),jaccard(w2v_weighted),jaccard(w2v_sif)
0,-0.023809523809523808,-0.023809523809523808,0.26190476190476186,0.26190476190476186,0.8333333333333334,0.04783859678062102,0.048386262056522515,0.047985517714908124,0.048317619295802985,0.04845486082332193
1,-0.023809523809523808,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.048243545479478296,0.04791773061028159,0.04842809632363677,0.04804073967567214,0.04865777249768312
2,0.26190476190476186,-0.023809523809523808,0.11904761904761904,0.40476190476190477,0.8333333333333334,0.04801170460779953,0.04810655618015088,0.047955210253364806,0.048231151547910384,0.048568568201699976
3,-0.023809523809523808,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.0479424919933675,0.048610503850118184,0.04798930451863767,0.048459609292574965,0.04851689708577843
4,0.26190476190476186,0.11904761904761904,0.11904761904761904,0.40476190476190477,0.8333333333333334,0.04777307593542203,0.048080637213548015,0.04815212862007277,0.04808502979705025,0.048400737318657946
5,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04783205667498063,0.04787916829469851,0.04812309380890822,0.04838465759058535,0.04858531308493384
6,-0.16666666666666666,-0.023809523809523808,0.11904761904761904,0.26190476190476186,0.40476190476190477,0.04799869526447045,0.048025007390391665,0.048026154660919695,0.0485924058168543,0.04851967484212021
7,0.26190476190476186,-0.023809523809523808,0.6904761904761905,0.8333333333333334,0.11904761904761904,0.048156225393447306,0.047991789730205486,0.04811139390501799,0.048565260553306455,0.048726320601761006
8,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.11904761904761904,0.04786699178317809,0.048099756151709985,0.048066487141969795,0.04833698655286384,0.04825934176543661
9,-0.023809523809523808,-0.16666666666666666,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04783155011690816,0.04787917804441089,0.04793075027717094,0.048406759735685784,0.04881854215798883
10,-0.16666666666666666,0.26190476190476186,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.047877403590769224,0.04822031616443078,0.04806821477509145,0.048247484466742756,0.048385131122630175
11,-0.023809523809523808,-0.16666666666666666,0.6904761904761905,0.26190476190476186,0.8333333333333334,0.04808283597885064,0.04807648045593382,0.04827044450284224,0.04846571028055714,0.04858106987844213
12,-0.023809523809523808,-0.023809523809523808,0.26190476190476186,0.6904761904761905,0.8333333333333334,0.047808448540558775,0.04783000990386575,0.04816393064397569,0.048300826621308704,0.048497758144875835
13,-0.023809523809523808,-0.16666666666666666,0.6904761904761905,0.8333333333333334,0.8333333333333334,0.04770375144520003,0.047868672856527565,0.04815354449651249,0.048218624498075645,0.04865772363273054
14,0.26190476190476186,-0.023809523809523808,0.11904761904761904,0.40476190476190477,0.8333333333333334,0.047881363030497594,0.04798103896528092,0.04816154683259867,0.04851815670323447,0.04837468579619494
