,scoreType,score_mean,score_min,score_max,score_stdev
0,jaccard(bert),0.823952588452298,0.8237468279282691,0.824231406162663,8.794385248637558e-05
1,jaccard(top_bow),0.8239813621232056,0.8237783456982993,0.8242311142528472,8.101091202284555e-05
2,jaccard(top_tfidf),0.824010330917594,0.8238250398514251,0.8242517162318252,9.03892805300515e-05
3,jaccard(w2v_sif),0.8239671940511407,0.8237948034024668,0.8242780800975216,9.233698184227531e-05
4,jaccard(w2v_weighted),0.8239737626428635,0.8237941752916409,0.8242541221194284,9.121666165778806e-05
5,sas(bert),0.00901052631578947,-0.009473684210526316,0.028421052631578948,0.007484197142035498
6,sas(top_bow),0.018421052631578935,-0.0010526315789473675,0.04526315789473684,0.008963771435882248
7,sas(top_tfidf),0.0045684210526315775,-0.00736842105263158,0.02,0.006291322446768612
8,sas(w2v_sif),0.03974736842105262,0.02,0.06842105263157894,0.00967662602010308
9,sas(w2v_weighted),0.0367157894736842,0.015789473684210523,0.06421052631578947,0.01064187499192159
